id,classification,subClassification,length,width,thickness,diameter,weight,quantity,broadperiod,fromdate,todate,district
47475,Transverse arrowhead,,37,24,,,,1,NEOLITHIC,-4000,-2200,Ryedale
537179,oblique,,37,14,,,,1,NEOLITHIC,,,Mid Devon
78397,,,37.4,18,,,2.29,1,NEOLITHIC,-3500,-2100,Mid Suffolk
90571,,,37.5,19.5,,,,1,NEOLITHIC,-3500,-2100,Forest Heath
65284,Hollow Base,,37.6,18.6,,,3.03,1,BRONZE AGE,-2150,-1500,Malvern Hills
217204,Barbed and Tanged,,38,21,,,,1,NEOLITHIC,-2500,-1500,East Lindsey
401707,,,38.73,33.93,,,12.62,1,NEOLITHIC,-2500,-2000,Mole Valley
219700,Leaf-shaped,,39,106,,,5.3,1,NEOLITHIC,-3500,,Northampton
433101,,,39.29,21.44,,,,1,BRONZE AGE,-2000,-1500,Mole Valley
231949,Leaf-shaped,,39.8,19.23,,,5.5,1,NEOLITHIC,,,Vale of White Horse
47468,Leaf-shaped,,40,19,,,,1,NEOLITHIC,-4000,-2200,Ryedale
58919,Transverse,,40,23,,,,1,NEOLITHIC,-2500,-1500,North Kesteven
145177,Flint,,41,18,,,,1,NEOLITHIC,-4,-2,Tendring
66264,,,42,23,,,,1,BRONZE AGE,-2150,-1500,Rutland
122533,Socketed,,43,,,,,1,MEDIEVAL,1066,1499,South Kesteven
751865,,,43.45,15.66,,,7.58,1,MEDIEVAL,1200,1500,East Hertfordshire
402881,,,43.49,19.73,,,2.8,1,NEOLITHIC,-3500,-2500,Stratford-on-Avon
98685,,,44,22,,,19.35,1,IRON AGE,-600,1000,Ribble Valley
264904,,,44.27,17.46,,,9.49,1,MEDIEVAL,1200,1400,St. Edmundsbury
1268,Oblique,,45,21,,,,1,BRONZE AGE,-2500,-700,East Hampshire
816793,,,46.19,,,,,1,MEDIEVAL,1241,1263,City and County of the City of London
145554,,,49,21,,,21.65,1,MEDIEVAL,1066,1800,Broadland
401705,,,49.09,,,,4.13,1,NEOLITHIC,-2500,-2000,Mole Valley
58920,,,50,24,,,,1,NEOLITHIC,-2500,-1500,North Kesteven
94326,,,50,15,,,5.87,1,MEDIEVAL,1200,1500,Epsom and Ewell
154427,,,50,20,,,,1,MEDIEVAL,1200,1400,Aylesbury Vale
212075,,,50.5,14.6,,,6.32,1,MEDIEVAL,1066,1400,Stratford-on-Avon
100853,,,52,16,,,,1,NEOLITHIC,-3500,-2100,St. Edmundsbury
134766,Leaf,,52,23.9,,,4.81,1,NEOLITHIC,-3500,-2100,North Lincolnshire
231880,Jessop MP3,,53.6,16.43,,,11.12,1,MEDIEVAL,1066,1500,Vale of White Horse
706582,,,55.87,17.72,,,10.75,1,MEDIEVAL,1066,1400,Hart
79013,,,58,10.1,,,15.32,1,MEDIEVAL,1200,1500,Staffordshire Moorlands
47390,Barbed and tanged arrowhead,,58,16,,,,1,POST MEDIEVAL,,,Selby
114970,Forked Head,,60,45.6,,,17.85,1,MEDIEVAL,1066,1500,Wiltshire
613879,,,61,,,,,1,MEDIEVAL,1300,1500,Uttlesford
47389,Barbed and tanged arrowhead,,62,18,,,,1,POST MEDIEVAL,,,Selby
113289,,,63.67,19.1,,,8.58,1,MEDIEVAL,1200,1500,Forest Heath
390995,,,65.5,,,,10.9,1,MEDIEVAL,1400,1600,Darlington
78464,,,70,10.5,,,5.8,1,MEDIEVAL,1100,1200,City and County of the City of London
457847,,,71.15,10.85,,,13.9,1,MEDIEVAL,1200,1450,Malvern Hills
445376,,,72.1,19.9,,,13,1,MEDIEVAL,1000,1400,Monmouthshire
227321,,,73,,,,21,1,,,,East Northamptonshire
114966,Broadhead,,75.8,44.9,,,23.26,1,MEDIEVAL,1066,1500,Wiltshire
15237,,,77.04,37.99,,,,1,MEDIEVAL,1066,1540,Milton Keynes
67762,,,93,27,,,,1,MEDIEVAL,1401,1600,Wiltshire
777716,,,107,,,,,1,UNKNOWN,,,South Kesteven
16287,,,113,26,,,,1,MEDIEVAL,1066,1500,Forest Heath
36753,,,163,12,,,14.88,1,POST MEDIEVAL,1540,,Tendring
437425,,,,25.62,,,2.17,1,NEOLITHIC,-6000,-2000,Mole Valley
183511,Leaf shaped,,,,,,,1,NEOLITHIC,-4500,-2100,Maidstone
509126,,,,,,,,1,NEOLITHIC,-4500,-2200,West Oxfordshire
39913,,,,,,,,1,NEOLITHIC,-4000,-2200,Broadland
239666,,,,,,,,1,NEOLITHIC,-4000,-3001,King's Lynn and West Norfolk
91237,Leaf-shaped,,,,,,,2,NEOLITHIC,-3500,-2100,Monmouthshire
110761,,,,,,,,1,NEOLITHIC,-3500,-2100,North Norfolk
110763,,,,,,,,1,NEOLITHIC,-3500,-2100,North Norfolk
58345,,,,,,,,1,NEOLITHIC,-3500,-2900,North Norfolk
126944,,,,,,,,1,NEOLITHIC,-3500,-2100,Babergh
202104,,,,,,,,1,NEOLITHIC,-3500,-2100,Waveney
